Country,Date,Percent Pop. on Internet
Dominican Republic,1959-01-01T00:00:00.000000+00:00,
Algeria,1959-01-01T00:00:00.000000+00:00,
Ecuador,1959-01-01T00:00:00.000000+00:00,
Egypt,1959-01-01T00:00:00.000000+00:00,
Eritrea,1959-01-01T00:00:00.000000+00:00,
Spain,1959-01-01T00:00:00.000000+00:00,
Estonia,1959-01-01T00:00:00.000000+00:00,
Ethiopia,1959-01-01T00:00:00.000000+00:00,
Finland,1959-01-01T00:00:00.000000+00:00,
Fiji,1959-01-01T00:00:00.000000+00:00,
France,1959-01-01T00:00:00.000000+00:00,
Faeroe Islands,1959-01-01T00:00:00.000000+00:00,
"Micronesia, Fed. Sts.",1959-01-01T00:00:00.000000+00:00,
Gabon,1959-01-01T00:00:00.000000+00:00,
United Kingdom,1959-01-01T00:00:00.000000+00:00,
Georgia,1959-01-01T00:00:00.000000+00:00,
Ghana,1959-01-01T00:00:00.000000+00:00,
Gibraltar,1959-01-01T00:00:00.000000+00:00,
Guinea,1959-01-01T00:00:00.000000+00:00,
Gambia,1959-01-01T00:00:00.000000+00:00,
Guinea-Bissau,1959-01-01T00:00:00.000000+00:00,
Equatorial Guinea,1959-01-01T00:00:00.000000+00:00,
Greece,1959-01-01T00:00:00.000000+00:00,
Grenada,1959-01-01T00:00:00.000000+00:00,0.0
Greenland,1959-01-01T00:00:00.000000+00:00,
Guatemala,1959-01-01T00:00:00.000000+00:00,
Guam,1959-01-01T00:00:00.000000+00:00,
Guyana,1959-01-01T00:00:00.000000+00:00,
"Hong Kong, China",1959-01-01T00:00:00.000000+00:00,
Honduras,1959-01-01T00:00:00.000000+00:00,
Croatia,1959-01-01T00:00:00.000000+00:00,
Haiti,1959-01-01T00:00:00.000000+00:00,
Hungary,1959-01-01T00:00:00.000000+00:00,
Indonesia,1959-01-01T00:00:00.000000+00:00,
India,1959-01-01T00:00:00.000000+00:00,
Ireland,1959-01-01T00:00:00.000000+00:00,
Iran,1959-01-01T00:00:00.000000+00:00,
Iraq,1959-01-01T00:00:00.000000+00:00,
Iceland,1959-01-01T00:00:00.000000+00:00,
Israel,1959-01-01T00:00:00.000000+00:00,
Italy,1959-01-01T00:00:00.000000+00:00,
Jamaica,1959-01-01T00:00:00.000000+00:00,
Jordan,1959-01-01T00:00:00.000000+00:00,
Japan,1959-01-01T00:00:00.000000+00:00,
Kazakhstan,1959-01-01T00:00:00.000000+00:00,
Kenya,1959-01-01T00:00:00.000000+00:00,
Kyrgyz Republic,1959-01-01T00:00:00.000000+00:00,
Cambodia,1959-01-01T00:00:00.000000+00:00,
Kiribati,1959-01-01T00:00:00.000000+00:00,
St. Kitts and Nevis,1959-01-01T00:00:00.000000+00:00,
South Korea,1959-01-01T00:00:00.000000+00:00,
Kosovo,1959-01-01T00:00:00.000000+00:00,
Kuwait,1959-01-01T00:00:00.000000+00:00,
Lao,1959-01-01T00:00:00.000000+00:00,
Lebanon,1959-01-01T00:00:00.000000+00:00,
Liberia,1959-01-01T00:00:00.000000+00:00,
Libya,1959-01-01T00:00:00.000000+00:00,
St. Lucia,1959-01-01T00:00:00.000000+00:00,
Liechtenstein,1959-01-01T00:00:00.000000+00:00,
Sri Lanka,1959-01-01T00:00:00.000000+00:00,
Lesotho,1959-01-01T00:00:00.000000+00:00,
Lithuania,1959-01-01T00:00:00.000000+00:00,
Luxembourg,1959-01-01T00:00:00.000000+00:00,
Latvia,1959-01-01T00:00:00.000000+00:00,
"Macao, China",1959-01-01T00:00:00.000000+00:00,
Morocco,1959-01-01T00:00:00.000000+00:00,
Monaco,1959-01-01T00:00:00.000000+00:00,
Moldova,1959-01-01T00:00:00.000000+00:00,
Madagascar,1959-01-01T00:00:00.000000+00:00,
Maldives,1959-01-01T00:00:00.000000+00:00,0.0
Mexico,1959-01-01T00:00:00.000000+00:00,
Marshall Islands,1959-01-01T00:00:00.000000+00:00,
North Macedonia,1959-01-01T00:00:00.000000+00:00,
Mali,1959-01-01T00:00:00.000000+00:00,
Malta,1959-01-01T00:00:00.000000+00:00,
Myanmar,1959-01-01T00:00:00.000000+00:00,
Montenegro,1959-01-01T00:00:00.000000+00:00,
Mongolia,1959-01-01T00:00:00.000000+00:00,
Northern Mariana Islands,1959-01-01T00:00:00.000000+00:00,
Mozambique,1959-01-01T00:00:00.000000+00:00,
Mauritania,1959-01-01T00:00:00.000000+00:00,
Mauritius,1959-01-01T00:00:00.000000+00:00,
Malawi,1959-01-01T00:00:00.000000+00:00,
Malaysia,1959-01-01T00:00:00.000000+00:00,
Namibia,1959-01-01T00:00:00.000000+00:00,
New Caledonia,1959-01-01T00:00:00.000000+00:00,
Niger,1959-01-01T00:00:00.000000+00:00,
Nigeria,1959-01-01T00:00:00.000000+00:00,
Nicaragua,1959-01-01T00:00:00.000000+00:00,
Netherlands,1959-01-01T00:00:00.000000+00:00,
Curaçao,1959-01-01T00:00:00.000000+00:00,
Norway,1959-01-01T00:00:00.000000+00:00,
Nepal,1959-01-01T00:00:00.000000+00:00,
Nauru,1959-01-01T00:00:00.000000+00:00,
New Zealand,1959-01-01T00:00:00.000000+00:00,
Oman,1959-01-01T00:00:00.000000+00:00,
Pakistan,1959-01-01T00:00:00.000000+00:00,
Panama,1959-01-01T00:00:00.000000+00:00,
Peru,1959-01-01T00:00:00.000000+00:00,
Philippines,1959-01-01T00:00:00.000000+00:00,
Palau,1959-01-01T00:00:00.000000+00:00,
Papua New Guinea,1959-01-01T00:00:00.000000+00:00,
Poland,1959-01-01T00:00:00.000000+00:00,
Puerto Rico,1959-01-01T00:00:00.000000+00:00,
North Korea,1959-01-01T00:00:00.000000+00:00,
Portugal,1959-01-01T00:00:00.000000+00:00,
Paraguay,1959-01-01T00:00:00.000000+00:00,
Palestine,1959-01-01T00:00:00.000000+00:00,
French Polynesia,1959-01-01T00:00:00.000000+00:00,
Qatar,1959-01-01T00:00:00.000000+00:00,
Romania,1959-01-01T00:00:00.000000+00:00,
Russia,1959-01-01T00:00:00.000000+00:00,
Rwanda,1959-01-01T00:00:00.000000+00:00,
Saudi Arabia,1959-01-01T00:00:00.000000+00:00,
Sudan,1959-01-01T00:00:00.000000+00:00,
Senegal,1959-01-01T00:00:00.000000+00:00,
Singapore,1959-01-01T00:00:00.000000+00:00,
Solomon Islands,1959-01-01T00:00:00.000000+00:00,
Sierra Leone,1959-01-01T00:00:00.000000+00:00,
El Salvador,1959-01-01T00:00:00.000000+00:00,
San Marino,1959-01-01T00:00:00.000000+00:00,
Somalia,1959-01-01T00:00:00.000000+00:00,
Serbia,1959-01-01T00:00:00.000000+00:00,
South Sudan,1959-01-01T00:00:00.000000+00:00,
Sao Tome and Principe,1959-01-01T00:00:00.000000+00:00,
Suriname,1959-01-01T00:00:00.000000+00:00,
Slovak Republic,1959-01-01T00:00:00.000000+00:00,
Slovenia,1959-01-01T00:00:00.000000+00:00,
Sweden,1959-01-01T00:00:00.000000+00:00,
Eswatini,1959-01-01T00:00:00.000000+00:00,
Seychelles,1959-01-01T00:00:00.000000+00:00,
Syria,1959-01-01T00:00:00.000000+00:00,0.0
Turks and Caicos Islands,1959-01-01T00:00:00.000000+00:00,
Chad,1959-01-01T00:00:00.000000+00:00,
Togo,1959-01-01T00:00:00.000000+00:00,0.0
Thailand,1959-01-01T00:00:00.000000+00:00,0.0
Tajikistan,1959-01-01T00:00:00.000000+00:00,
Turkmenistan,1959-01-01T00:00:00.000000+00:00,
Timor-Leste,1959-01-01T00:00:00.000000+00:00,
Tonga,1959-01-01T00:00:00.000000+00:00,
Trinidad and Tobago,1959-01-01T00:00:00.000000+00:00,
Tunisia,1959-01-01T00:00:00.000000+00:00,
Turkey,1959-01-01T00:00:00.000000+00:00,
Tuvalu,1959-01-01T00:00:00.000000+00:00,
Tanzania,1959-01-01T00:00:00.000000+00:00,
Uganda,1959-01-01T00:00:00.000000+00:00,
Ukraine,1959-01-01T00:00:00.000000+00:00,
Uruguay,1959-01-01T00:00:00.000000+00:00,
United States,1959-01-01T00:00:00.000000+00:00,
Uzbekistan,1959-01-01T00:00:00.000000+00:00,
St. Vincent and the Grenadines,1959-01-01T00:00:00.000000+00:00,
Venezuela,1959-01-01T00:00:00.000000+00:00,
British Virgin Islands,1959-01-01T00:00:00.000000+00:00,
Virgin Islands (U.S.),1959-01-01T00:00:00.000000+00:00,
Vietnam,1959-01-01T00:00:00.000000+00:00,
Vanuatu,1959-01-01T00:00:00.000000+00:00,
Samoa,1959-01-01T00:00:00.000000+00:00,
Yemen,1959-01-01T00:00:00.000000+00:00,
South Africa,1959-01-01T00:00:00.000000+00:00,
Zambia,1959-01-01T00:00:00.000000+00:00,
Zimbabwe,1959-01-01T00:00:00.000000+00:00,
Aruba,1960-01-01T00:00:00.000000+00:00,
Afghanistan,1960-01-01T00:00:00.000000+00:00,
Angola,1960-01-01T00:00:00.000000+00:00,
Albania,1960-01-01T00:00:00.000000+00:00,
Andorra,1960-01-01T00:00:00.000000+00:00,
United Arab Emirates,1960-01-01T00:00:00.000000+00:00,
Argentina,1960-01-01T00:00:00.000000+00:00,
Armenia,1960-01-01T00:00:00.000000+00:00,
American Samoa,1960-01-01T00:00:00.000000+00:00,
Antigua and Barbuda,1960-01-01T00:00:00.000000+00:00,
Australia,1960-01-01T00:00:00.000000+00:00,
Austria,1960-01-01T00:00:00.000000+00:00,
Azerbaijan,1960-01-01T00:00:00.000000+00:00,
Burundi,1960-01-01T00:00:00.000000+00:00,
Belgium,1960-01-01T00:00:00.000000+00:00,
Benin,1960-01-01T00:00:00.000000+00:00,
Burkina Faso,1960-01-01T00:00:00.000000+00:00,
Bangladesh,1960-01-01T00:00:00.000000+00:00,
Bulgaria,1960-01-01T00:00:00.000000+00:00,
Bahrain,1960-01-01T00:00:00.000000+00:00,
Bahamas,1960-01-01T00:00:00.000000+00:00,
Bosnia and Herzegovina,1960-01-01T00:00:00.000000+00:00,
Belarus,1960-01-01T00:00:00.000000+00:00,
Belize,1960-01-01T00:00:00.000000+00:00,
Bermuda,1960-01-01T00:00:00.000000+00:00,
Bolivia,1960-01-01T00:00:00.000000+00:00,
Brazil,1960-01-01T00:00:00.000000+00:00,
Barbados,1960-01-01T00:00:00.000000+00:00,
Brunei,1960-01-01T00:00:00.000000+00:00,
Bhutan,1960-01-01T00:00:00.000000+00:00,
Botswana,1960-01-01T00:00:00.000000+00:00,
Central African Republic,1960-01-01T00:00:00.000000+00:00,
Canada,1960-01-01T00:00:00.000000+00:00,
Switzerland,1960-01-01T00:00:00.000000+00:00,
Chile,1960-01-01T00:00:00.000000+00:00,
China,1960-01-01T00:00:00.000000+00:00,
Cote d'Ivoire,1960-01-01T00:00:00.000000+00:00,
Cameroon,1960-01-01T00:00:00.000000+00:00,
"Congo, Dem. Rep.",1960-01-01T00:00:00.000000+00:00,
"Congo, Rep.",1960-01-01T00:00:00.000000+00:00,
Colombia,1960-01-01T00:00:00.000000+00:00,
Comoros,1960-01-01T00:00:00.000000+00:00,
Cape Verde,1960-01-01T00:00:00.000000+00:00,
Costa Rica,1960-01-01T00:00:00.000000+00:00,
Cuba,1960-01-01T00:00:00.000000+00:00,
Cayman Islands,1960-01-01T00:00:00.000000+00:00,
Cyprus,1960-01-01T00:00:00.000000+00:00,
Czech Republic,1960-01-01T00:00:00.000000+00:00,
Germany,1960-01-01T00:00:00.000000+00:00,
Djibouti,1960-01-01T00:00:00.000000+00:00,
Dominica,1960-01-01T00:00:00.000000+00:00,
Denmark,1960-01-01T00:00:00.000000+00:00,
Dominican Republic,1960-01-01T00:00:00.000000+00:00,
Algeria,1960-01-01T00:00:00.000000+00:00,
Ecuador,1960-01-01T00:00:00.000000+00:00,
Egypt,1960-01-01T00:00:00.000000+00:00,
Eritrea,1960-01-01T00:00:00.000000+00:00,
Spain,1960-01-01T00:00:00.000000+00:00,
Estonia,1960-01-01T00:00:00.000000+00:00,
Ethiopia,1960-01-01T00:00:00.000000+00:00,
Finland,1960-01-01T00:00:00.000000+00:00,
Fiji,1960-01-01T00:00:00.000000+00:00,
France,1960-01-01T00:00:00.000000+00:00,
Faeroe Islands,1960-01-01T00:00:00.000000+00:00,
"Micronesia, Fed. Sts.",1960-01-01T00:00:00.000000+00:00,
Gabon,1960-01-01T00:00:00.000000+00:00,
United Kingdom,1960-01-01T00:00:00.000000+00:00,
Georgia,1960-01-01T00:00:00.000000+00:00,
Ghana,1960-01-01T00:00:00.000000+00:00,
Gibraltar,1960-01-01T00:00:00.000000+00:00,
Guinea,1960-01-01T00:00:00.000000+00:00,
Gambia,1960-01-01T00:00:00.000000+00:00,
Guinea-Bissau,1960-01-01T00:00:00.000000+00:00,
Equatorial Guinea,1960-01-01T00:00:00.000000+00:00,
Greece,1960-01-01T00:00:00.000000+00:00,
Grenada,1960-01-01T00:00:00.000000+00:00,
Greenland,1960-01-01T00:00:00.000000+00:00,
Guatemala,1960-01-01T00:00:00.000000+00:00,
Guam,1960-01-01T00:00:00.000000+00:00,
Guyana,1960-01-01T00:00:00.000000+00:00,
"Hong Kong, China",1960-01-01T00:00:00.000000+00:00,
Honduras,1960-01-01T00:00:00.000000+00:00,
Croatia,1960-01-01T00:00:00.000000+00:00,
Haiti,1960-01-01T00:00:00.000000+00:00,
Hungary,1960-01-01T00:00:00.000000+00:00,
Indonesia,1960-01-01T00:00:00.000000+00:00,
India,1960-01-01T00:00:00.000000+00:00,
Ireland,1960-01-01T00:00:00.000000+00:00,
Iran,1960-01-01T00:00:00.000000+00:00,
Iraq,1960-01-01T00:00:00.000000+00:00,
Iceland,1960-01-01T00:00:00.000000+00:00,
Israel,1960-01-01T00:00:00.000000+00:00,
Italy,1960-01-01T00:00:00.000000+00:00,
Jamaica,1960-01-01T00:00:00.000000+00:00,
Jordan,1960-01-01T00:00:00.000000+00:00,
Japan,1960-01-01T00:00:00.000000+00:00,
Kazakhstan,1960-01-01T00:00:00.000000+00:00,
Kenya,1960-01-01T00:00:00.000000+00:00,
Kyrgyz Republic,1960-01-01T00:00:00.000000+00:00,
Cambodia,1960-01-01T00:00:00.000000+00:00,
Kiribati,1960-01-01T00:00:00.000000+00:00,
St. Kitts and Nevis,1960-01-01T00:00:00.000000+00:00,
South Korea,1960-01-01T00:00:00.000000+00:00,
Kosovo,1960-01-01T00:00:00.000000+00:00,
Kuwait,1960-01-01T00:00:00.000000+00:00,
Lao,1960-01-01T00:00:00.000000+00:00,
Lebanon,1960-01-01T00:00:00.000000+00:00,
Liberia,1960-01-01T00:00:00.000000+00:00,
Libya,1960-01-01T00:00:00.000000+00:00,
St. Lucia,1960-01-01T00:00:00.000000+00:00,
Liechtenstein,1960-01-01T00:00:00.000000+00:00,
Sri Lanka,1960-01-01T00:00:00.000000+00:00,
Lesotho,1960-01-01T00:00:00.000000+00:00,
Lithuania,1960-01-01T00:00:00.000000+00:00,
Luxembourg,1960-01-01T00:00:00.000000+00:00,
Latvia,1960-01-01T00:00:00.000000+00:00,
"Macao, China",1960-01-01T00:00:00.000000+00:00,
Morocco,1960-01-01T00:00:00.000000+00:00,
Monaco,1960-01-01T00:00:00.000000+00:00,
Moldova,1960-01-01T00:00:00.000000+00:00,
Madagascar,1960-01-01T00:00:00.000000+00:00,
Maldives,1960-01-01T00:00:00.000000+00:00,
Mexico,1960-01-01T00:00:00.000000+00:00,
Marshall Islands,1960-01-01T00:00:00.000000+00:00,
North Macedonia,1960-01-01T00:00:00.000000+00:00,
Mali,1960-01-01T00:00:00.000000+00:00,
Malta,1960-01-01T00:00:00.000000+00:00,
Myanmar,1960-01-01T00:00:00.000000+00:00,
Montenegro,1960-01-01T00:00:00.000000+00:00,
Mongolia,1960-01-01T00:00:00.000000+00:00,
Northern Mariana Islands,1960-01-01T00:00:00.000000+00:00,
Mozambique,1960-01-01T00:00:00.000000+00:00,
Mauritania,1960-01-01T00:00:00.000000+00:00,
Mauritius,1960-01-01T00:00:00.000000+00:00,
Malawi,1960-01-01T00:00:00.000000+00:00,
Malaysia,1960-01-01T00:00:00.000000+00:00,
Namibia,1960-01-01T00:00:00.000000+00:00,
New Caledonia,1960-01-01T00:00:00.000000+00:00,
Niger,1960-01-01T00:00:00.000000+00:00,
Nigeria,1960-01-01T00:00:00.000000+00:00,
Nicaragua,1960-01-01T00:00:00.000000+00:00,
Netherlands,1960-01-01T00:00:00.000000+00:00,
Curaçao,1960-01-01T00:00:00.000000+00:00,
Norway,1960-01-01T00:00:00.000000+00:00,
Nepal,1960-01-01T00:00:00.000000+00:00,
Nauru,1960-01-01T00:00:00.000000+00:00,
New Zealand,1960-01-01T00:00:00.000000+00:00,
Oman,1960-01-01T00:00:00.000000+00:00,
Pakistan,1960-01-01T00:00:00.000000+00:00,
Panama,1960-01-01T00:00:00.000000+00:00,
Peru,1960-01-01T00:00:00.000000+00:00,
Philippines,1960-01-01T00:00:00.000000+00:00,
Palau,1960-01-01T00:00:00.000000+00:00,
Papua New Guinea,1960-01-01T00:00:00.000000+00:00,
Poland,1960-01-01T00:00:00.000000+00:00,
Puerto Rico,1960-01-01T00:00:00.000000+00:00,
North Korea,1960-01-01T00:00:00.000000+00:00,
Portugal,1960-01-01T00:00:00.000000+00:00,
Paraguay,1960-01-01T00:00:00.000000+00:00,
Palestine,1960-01-01T00:00:00.000000+00:00,
French Polynesia,1960-01-01T00:00:00.000000+00:00,
Qatar,1960-01-01T00:00:00.000000+00:00,
Romania,1960-01-01T00:00:00.000000+00:00,
Russia,1960-01-01T00:00:00.000000+00:00,
Rwanda,1960-01-01T00:00:00.000000+00:00,
Saudi Arabia,1960-01-01T00:00:00.000000+00:00,
Sudan,1960-01-01T00:00:00.000000+00:00,
Senegal,1960-01-01T00:00:00.000000+00:00,
Singapore,1960-01-01T00:00:00.000000+00:00,
Solomon Islands,1960-01-01T00:00:00.000000+00:00,
Sierra Leone,1960-01-01T00:00:00.000000+00:00,
El Salvador,1960-01-01T00:00:00.000000+00:00,
San Marino,1960-01-01T00:00:00.000000+00:00,
Somalia,1960-01-01T00:00:00.000000+00:00,
Serbia,1960-01-01T00:00:00.000000+00:00,
South Sudan,1960-01-01T00:00:00.000000+00:00,
Sao Tome and Principe,1960-01-01T00:00:00.000000+00:00,
Suriname,1960-01-01T00:00:00.000000+00:00,
Slovak Republic,1960-01-01T00:00:00.000000+00:00,
Slovenia,1960-01-01T00:00:00.000000+00:00,
Sweden,1960-01-01T00:00:00.000000+00:00,
Eswatini,1960-01-01T00:00:00.000000+00:00,
Seychelles,1960-01-01T00:00:00.000000+00:00,
Syria,1960-01-01T00:00:00.000000+00:00,
Turks and Caicos Islands,1960-01-01T00:00:00.000000+00:00,
Chad,1960-01-01T00:00:00.000000+00:00,
Togo,1960-01-01T00:00:00.000000+00:00,
Thailand,1960-01-01T00:00:00.000000+00:00,
Tajikistan,1960-01-01T00:00:00.000000+00:00,
Turkmenistan,1960-01-01T00:00:00.000000+00:00,
Timor-Leste,1960-01-01T00:00:00.000000+00:00,
Tonga,1960-01-01T00:00:00.000000+00:00,
Trinidad and Tobago,1960-01-01T00:00:00.000000+00:00,
Tunisia,1960-01-01T00:00:00.000000+00:00,
Turkey,1960-01-01T00:00:00.000000+00:00,
Tuvalu,1960-01-01T00:00:00.000000+00:00,
Tanzania,1960-01-01T00:00:00.000000+00:00,
Uganda,1960-01-01T00:00:00.000000+00:00,
Ukraine,1960-01-01T00:00:00.000000+00:00,
Uruguay,1960-01-01T00:00:00.000000+00:00,
United States,1960-01-01T00:00:00.000000+00:00,
Uzbekistan,1960-01-01T00:00:00.000000+00:00,
St. Vincent and the Grenadines,1960-01-01T00:00:00.000000+00:00,
Venezuela,1960-01-01T00:00:00.000000+00:00,
British Virgin Islands,1960-01-01T00:00:00.000000+00:00,
Virgin Islands (U.S.),1960-01-01T00:00:00.000000+00:00,
Vietnam,1960-01-01T00:00:00.000000+00:00,
Vanuatu,1960-01-01T00:00:00.000000+00:00,
Samoa,1960-01-01T00:00:00.000000+00:00,
Yemen,1960-01-01T00:00:00.000000+00:00,
South Africa,1960-01-01T00:00:00.000000+00:00,
Zambia,1960-01-01T00:00:00.000000+00:00,
Zimbabwe,1960-01-01T00:00:00.000000+00:00,
Aruba,1961-01-01T00:00:00.000000+00:00,
Afghanistan,1961-01-01T00:00:00.000000+00:00,
Angola,1961-01-01T00:00:00.000000+00:00,
Albania,1961-01-01T00:00:00.000000+00:00,
Andorra,1961-01-01T00:00:00.000000+00:00,
United Arab Emirates,1961-01-01T00:00:00.000000+00:00,
Argentina,1961-01-01T00:00:00.000000+00:00,
Armenia,1961-01-01T00:00:00.000000+00:00,
American Samoa,1961-01-01T00:00:00.000000+00:00,
Antigua and Barbuda,1961-01-01T00:00:00.000000+00:00,
Australia,1961-01-01T00:00:00.000000+00:00,
Austria,1961-01-01T00:00:00.000000+00:00,
Azerbaijan,1961-01-01T00:00:00.000000+00:00,
Burundi,1961-01-01T00:00:00.000000+00:00,
Belgium,1961-01-01T00:00:00.000000+00:00,
Benin,1961-01-01T00:00:00.000000+00:00,
Burkina Faso,1961-01-01T00:00:00.000000+00:00,
Bangladesh,1961-01-01T00:00:00.000000+00:00,
Bulgaria,1961-01-01T00:00:00.000000+00:00,
Bahrain,1961-01-01T00:00:00.000000+00:00,
Bahamas,1961-01-01T00:00:00.000000+00:00,
Bosnia and Herzegovina,1961-01-01T00:00:00.000000+00:00,
Belarus,1961-01-01T00:00:00.000000+00:00,
Belize,1961-01-01T00:00:00.000000+00:00,
Bermuda,1961-01-01T00:00:00.000000+00:00,
Bolivia,1961-01-01T00:00:00.000000+00:00,
Brazil,1961-01-01T00:00:00.000000+00:00,
Barbados,1961-01-01T00:00:00.000000+00:00,
Brunei,1961-01-01T00:00:00.000000+00:00,
Bhutan,1961-01-01T00:00:00.000000+00:00,
Botswana,1961-01-01T00:00:00.000000+00:00,
Central African Republic,1961-01-01T00:00:00.000000+00:00,
Canada,1961-01-01T00:00:00.000000+00:00,
Switzerland,1961-01-01T00:00:00.000000+00:00,
Chile,1961-01-01T00:00:00.000000+00:00,
China,1961-01-01T00:00:00.000000+00:00,
Cote d'Ivoire,1961-01-01T00:00:00.000000+00:00,
Cameroon,1961-01-01T00:00:00.000000+00:00,
"Congo, Dem. Rep.",1961-01-01T00:00:00.000000+00:00,
"Congo, Rep.",1961-01-01T00:00:00.000000+00:00,
Colombia,1961-01-01T00:00:00.000000+00:00,
Comoros,1961-01-01T00:00:00.000000+00:00,
Cape Verde,1961-01-01T00:00:00.000000+00:00,
Costa Rica,1961-01-01T00:00:00.000000+00:00,
Cuba,1961-01-01T00:00:00.000000+00:00,
Cayman Islands,1961-01-01T00:00:00.000000+00:00,
Cyprus,1961-01-01T00:00:00.000000+00:00,
Czech Republic,1961-01-01T00:00:00.000000+00:00,
Germany,1961-01-01T00:00:00.000000+00:00,
Djibouti,1961-01-01T00:00:00.000000+00:00,
Dominica,1961-01-01T00:00:00.000000+00:00,
Denmark,1961-01-01T00:00:00.000000+00:00,
Dominican Republic,1961-01-01T00:00:00.000000+00:00,
Algeria,1961-01-01T00:00:00.000000+00:00,
Ecuador,1961-01-01T00:00:00.000000+00:00,
Egypt,1961-01-01T00:00:00.000000+00:00,
Eritrea,1961-01-01T00:00:00.000000+00:00,
Spain,1961-01-01T00:00:00.000000+00:00,
Estonia,1961-01-01T00:00:00.000000+00:00,
Ethiopia,1961-01-01T00:00:00.000000+00:00,
Finland,1961-01-01T00:00:00.000000+00:00,
Fiji,1961-01-01T00:00:00.000000+00:00,
France,1961-01-01T00:00:00.000000+00:00,
Faeroe Islands,1961-01-01T00:00:00.000000+00:00,
"Micronesia, Fed. Sts.",1961-01-01T00:00:00.000000+00:00,
Gabon,1961-01-01T00:00:00.000000+00:00,
United Kingdom,1961-01-01T00:00:00.000000+00:00,
Georgia,1961-01-01T00:00:00.000000+00:00,
Ghana,1961-01-01T00:00:00.000000+00:00,
Gibraltar,1961-01-01T00:00:00.000000+00:00,
Guinea,1961-01-01T00:00:00.000000+00:00,
Gambia,1961-01-01T00:00:00.000000+00:00,
Guinea-Bissau,1961-01-01T00:00:00.000000+00:00,
Equatorial Guinea,1961-01-01T00:00:00.000000+00:00,
Greece,1961-01-01T00:00:00.000000+00:00,
Grenada,1961-01-01T00:00:00.000000+00:00,
Greenland,1961-01-01T00:00:00.000000+00:00,
Guatemala,1961-01-01T00:00:00.000000+00:00,
Guam,1961-01-01T00:00:00.000000+00:00,
Guyana,1961-01-01T00:00:00.000000+00:00,
"Hong Kong, China",1961-01-01T00:00:00.000000+00:00,
Honduras,1961-01-01T00:00:00.000000+00:00,
Croatia,1961-01-01T00:00:00.000000+00:00,
Haiti,1961-01-01T00:00:00.000000+00:00,
Hungary,1961-01-01T00:00:00.000000+00:00,
Indonesia,1961-01-01T00:00:00.000000+00:00,
India,1961-01-01T00:00:00.000000+00:00,
Ireland,1961-01-01T00:00:00.000000+00:00,
Iran,1961-01-01T00:00:00.000000+00:00,
