Country,Date,Tonnes CO2/person
Guinea,1799-01-01T00:00:00.000000+00:00,
Gambia,1799-01-01T00:00:00.000000+00:00,
Guinea-Bissau,1799-01-01T00:00:00.000000+00:00,
Equatorial Guinea,1799-01-01T00:00:00.000000+00:00,
Greece,1799-01-01T00:00:00.000000+00:00,
Grenada,1799-01-01T00:00:00.000000+00:00,
Guatemala,1799-01-01T00:00:00.000000+00:00,
Guyana,1799-01-01T00:00:00.000000+00:00,
"Hong Kong, China",1799-01-01T00:00:00.000000+00:00,
Honduras,1799-01-01T00:00:00.000000+00:00,
Croatia,1799-01-01T00:00:00.000000+00:00,
Haiti,1799-01-01T00:00:00.000000+00:00,
Hungary,1799-01-01T00:00:00.000000+00:00,
Indonesia,1799-01-01T00:00:00.000000+00:00,
India,1799-01-01T00:00:00.000000+00:00,
Ireland,1799-01-01T00:00:00.000000+00:00,
Iran,1799-01-01T00:00:00.000000+00:00,
Iraq,1799-01-01T00:00:00.000000+00:00,
Iceland,1799-01-01T00:00:00.000000+00:00,
Israel,1799-01-01T00:00:00.000000+00:00,
Italy,1799-01-01T00:00:00.000000+00:00,
Jamaica,1799-01-01T00:00:00.000000+00:00,
Jordan,1799-01-01T00:00:00.000000+00:00,
Japan,1799-01-01T00:00:00.000000+00:00,
Kazakhstan,1799-01-01T00:00:00.000000+00:00,
Kenya,1799-01-01T00:00:00.000000+00:00,
Kyrgyz Republic,1799-01-01T00:00:00.000000+00:00,
Cambodia,1799-01-01T00:00:00.000000+00:00,
Kiribati,1799-01-01T00:00:00.000000+00:00,
St. Kitts and Nevis,1799-01-01T00:00:00.000000+00:00,
South Korea,1799-01-01T00:00:00.000000+00:00,
Kuwait,1799-01-01T00:00:00.000000+00:00,
Lao,1799-01-01T00:00:00.000000+00:00,
Lebanon,1799-01-01T00:00:00.000000+00:00,
Liberia,1799-01-01T00:00:00.000000+00:00,
Libya,1799-01-01T00:00:00.000000+00:00,
St. Lucia,1799-01-01T00:00:00.000000+00:00,
Liechtenstein,1799-01-01T00:00:00.000000+00:00,
Sri Lanka,1799-01-01T00:00:00.000000+00:00,
Lesotho,1799-01-01T00:00:00.000000+00:00,
Lithuania,1799-01-01T00:00:00.000000+00:00,
Luxembourg,1799-01-01T00:00:00.000000+00:00,
Latvia,1799-01-01T00:00:00.000000+00:00,
Morocco,1799-01-01T00:00:00.000000+00:00,
Moldova,1799-01-01T00:00:00.000000+00:00,
Madagascar,1799-01-01T00:00:00.000000+00:00,
Maldives,1799-01-01T00:00:00.000000+00:00,
Mexico,1799-01-01T00:00:00.000000+00:00,
Marshall Islands,1799-01-01T00:00:00.000000+00:00,
North Macedonia,1799-01-01T00:00:00.000000+00:00,
Mali,1799-01-01T00:00:00.000000+00:00,
Malta,1799-01-01T00:00:00.000000+00:00,
Myanmar,1799-01-01T00:00:00.000000+00:00,
Montenegro,1799-01-01T00:00:00.000000+00:00,
Mongolia,1799-01-01T00:00:00.000000+00:00,
Mozambique,1799-01-01T00:00:00.000000+00:00,
Mauritania,1799-01-01T00:00:00.000000+00:00,
Mauritius,1799-01-01T00:00:00.000000+00:00,
Malawi,1799-01-01T00:00:00.000000+00:00,
Malaysia,1799-01-01T00:00:00.000000+00:00,
Namibia,1799-01-01T00:00:00.000000+00:00,
Niger,1799-01-01T00:00:00.000000+00:00,
Nigeria,1799-01-01T00:00:00.000000+00:00,
Nicaragua,1799-01-01T00:00:00.000000+00:00,
Netherlands,1799-01-01T00:00:00.000000+00:00,
Norway,1799-01-01T00:00:00.000000+00:00,
Nepal,1799-01-01T00:00:00.000000+00:00,
Nauru,1799-01-01T00:00:00.000000+00:00,
New Zealand,1799-01-01T00:00:00.000000+00:00,
Oman,1799-01-01T00:00:00.000000+00:00,
Pakistan,1799-01-01T00:00:00.000000+00:00,
Panama,1799-01-01T00:00:00.000000+00:00,
Peru,1799-01-01T00:00:00.000000+00:00,
Philippines,1799-01-01T00:00:00.000000+00:00,
Palau,1799-01-01T00:00:00.000000+00:00,
Papua New Guinea,1799-01-01T00:00:00.000000+00:00,
Poland,1799-01-01T00:00:00.000000+00:00,0.0452
North Korea,1799-01-01T00:00:00.000000+00:00,
Portugal,1799-01-01T00:00:00.000000+00:00,
Paraguay,1799-01-01T00:00:00.000000+00:00,
Palestine,1799-01-01T00:00:00.000000+00:00,
Qatar,1799-01-01T00:00:00.000000+00:00,
Romania,1799-01-01T00:00:00.000000+00:00,
Russia,1799-01-01T00:00:00.000000+00:00,
Rwanda,1799-01-01T00:00:00.000000+00:00,
Saudi Arabia,1799-01-01T00:00:00.000000+00:00,
Sudan,1799-01-01T00:00:00.000000+00:00,
Senegal,1799-01-01T00:00:00.000000+00:00,
Singapore,1799-01-01T00:00:00.000000+00:00,
Solomon Islands,1799-01-01T00:00:00.000000+00:00,
Sierra Leone,1799-01-01T00:00:00.000000+00:00,
El Salvador,1799-01-01T00:00:00.000000+00:00,
Somalia,1799-01-01T00:00:00.000000+00:00,
Serbia,1799-01-01T00:00:00.000000+00:00,
South Sudan,1799-01-01T00:00:00.000000+00:00,
Sao Tome and Principe,1799-01-01T00:00:00.000000+00:00,
Suriname,1799-01-01T00:00:00.000000+00:00,
Slovak Republic,1799-01-01T00:00:00.000000+00:00,
Slovenia,1799-01-01T00:00:00.000000+00:00,
Sweden,1799-01-01T00:00:00.000000+00:00,
Eswatini,1799-01-01T00:00:00.000000+00:00,
Seychelles,1799-01-01T00:00:00.000000+00:00,
Syria,1799-01-01T00:00:00.000000+00:00,
Chad,1799-01-01T00:00:00.000000+00:00,
Togo,1799-01-01T00:00:00.000000+00:00,
Thailand,1799-01-01T00:00:00.000000+00:00,
Tajikistan,1799-01-01T00:00:00.000000+00:00,
Turkmenistan,1799-01-01T00:00:00.000000+00:00,
Timor-Leste,1799-01-01T00:00:00.000000+00:00,
Tonga,1799-01-01T00:00:00.000000+00:00,
Trinidad and Tobago,1799-01-01T00:00:00.000000+00:00,
Tunisia,1799-01-01T00:00:00.000000+00:00,
Turkey,1799-01-01T00:00:00.000000+00:00,
Tuvalu,1799-01-01T00:00:00.000000+00:00,
Taiwan,1799-01-01T00:00:00.000000+00:00,
Tanzania,1799-01-01T00:00:00.000000+00:00,
Uganda,1799-01-01T00:00:00.000000+00:00,
Ukraine,1799-01-01T00:00:00.000000+00:00,
Uruguay,1799-01-01T00:00:00.000000+00:00,
United States,1799-01-01T00:00:00.000000+00:00,0.0422
Uzbekistan,1799-01-01T00:00:00.000000+00:00,
St. Vincent and the Grenadines,1799-01-01T00:00:00.000000+00:00,
Venezuela,1799-01-01T00:00:00.000000+00:00,
Vietnam,1799-01-01T00:00:00.000000+00:00,
Vanuatu,1799-01-01T00:00:00.000000+00:00,
Samoa,1799-01-01T00:00:00.000000+00:00,
Yemen,1799-01-01T00:00:00.000000+00:00,
South Africa,1799-01-01T00:00:00.000000+00:00,
Zambia,1799-01-01T00:00:00.000000+00:00,
Zimbabwe,1799-01-01T00:00:00.000000+00:00,
Afghanistan,1800-01-01T00:00:00.000000+00:00,
Angola,1800-01-01T00:00:00.000000+00:00,
Albania,1800-01-01T00:00:00.000000+00:00,
Andorra,1800-01-01T00:00:00.000000+00:00,
United Arab Emirates,1800-01-01T00:00:00.000000+00:00,
Argentina,1800-01-01T00:00:00.000000+00:00,
Armenia,1800-01-01T00:00:00.000000+00:00,
Antigua and Barbuda,1800-01-01T00:00:00.000000+00:00,
Australia,1800-01-01T00:00:00.000000+00:00,
Austria,1800-01-01T00:00:00.000000+00:00,
Azerbaijan,1800-01-01T00:00:00.000000+00:00,
Burundi,1800-01-01T00:00:00.000000+00:00,
Belgium,1800-01-01T00:00:00.000000+00:00,
Benin,1800-01-01T00:00:00.000000+00:00,
Burkina Faso,1800-01-01T00:00:00.000000+00:00,
Bangladesh,1800-01-01T00:00:00.000000+00:00,
Bulgaria,1800-01-01T00:00:00.000000+00:00,
Bahrain,1800-01-01T00:00:00.000000+00:00,
Bahamas,1800-01-01T00:00:00.000000+00:00,
Bosnia and Herzegovina,1800-01-01T00:00:00.000000+00:00,
Belarus,1800-01-01T00:00:00.000000+00:00,
Belize,1800-01-01T00:00:00.000000+00:00,
Bolivia,1800-01-01T00:00:00.000000+00:00,
Brazil,1800-01-01T00:00:00.000000+00:00,
Barbados,1800-01-01T00:00:00.000000+00:00,
Brunei,1800-01-01T00:00:00.000000+00:00,
Bhutan,1800-01-01T00:00:00.000000+00:00,
Botswana,1800-01-01T00:00:00.000000+00:00,
Central African Republic,1800-01-01T00:00:00.000000+00:00,
Canada,1800-01-01T00:00:00.000000+00:00,0.00716
Switzerland,1800-01-01T00:00:00.000000+00:00,
Chile,1800-01-01T00:00:00.000000+00:00,
China,1800-01-01T00:00:00.000000+00:00,
Cote d'Ivoire,1800-01-01T00:00:00.000000+00:00,
Cameroon,1800-01-01T00:00:00.000000+00:00,
"Congo, Dem. Rep.",1800-01-01T00:00:00.000000+00:00,
"Congo, Rep.",1800-01-01T00:00:00.000000+00:00,
Colombia,1800-01-01T00:00:00.000000+00:00,
Comoros,1800-01-01T00:00:00.000000+00:00,
Cape Verde,1800-01-01T00:00:00.000000+00:00,
Costa Rica,1800-01-01T00:00:00.000000+00:00,
Cuba,1800-01-01T00:00:00.000000+00:00,
Cyprus,1800-01-01T00:00:00.000000+00:00,
Czech Republic,1800-01-01T00:00:00.000000+00:00,
Germany,1800-01-01T00:00:00.000000+00:00,0.0293
Djibouti,1800-01-01T00:00:00.000000+00:00,
Dominica,1800-01-01T00:00:00.000000+00:00,
Denmark,1800-01-01T00:00:00.000000+00:00,
Dominican Republic,1800-01-01T00:00:00.000000+00:00,
Algeria,1800-01-01T00:00:00.000000+00:00,
Ecuador,1800-01-01T00:00:00.000000+00:00,
Egypt,1800-01-01T00:00:00.000000+00:00,
Eritrea,1800-01-01T00:00:00.000000+00:00,
Spain,1800-01-01T00:00:00.000000+00:00,
Estonia,1800-01-01T00:00:00.000000+00:00,
Ethiopia,1800-01-01T00:00:00.000000+00:00,
Finland,1800-01-01T00:00:00.000000+00:00,
Fiji,1800-01-01T00:00:00.000000+00:00,
France,1800-01-01T00:00:00.000000+00:00,
"Micronesia, Fed. Sts.",1800-01-01T00:00:00.000000+00:00,
Gabon,1800-01-01T00:00:00.000000+00:00,
United Kingdom,1800-01-01T00:00:00.000000+00:00,2.46
Georgia,1800-01-01T00:00:00.000000+00:00,
Ghana,1800-01-01T00:00:00.000000+00:00,
Guinea,1800-01-01T00:00:00.000000+00:00,
Gambia,1800-01-01T00:00:00.000000+00:00,
Guinea-Bissau,1800-01-01T00:00:00.000000+00:00,
Equatorial Guinea,1800-01-01T00:00:00.000000+00:00,
Greece,1800-01-01T00:00:00.000000+00:00,
Grenada,1800-01-01T00:00:00.000000+00:00,
Guatemala,1800-01-01T00:00:00.000000+00:00,
Guyana,1800-01-01T00:00:00.000000+00:00,
"Hong Kong, China",1800-01-01T00:00:00.000000+00:00,
Honduras,1800-01-01T00:00:00.000000+00:00,
Croatia,1800-01-01T00:00:00.000000+00:00,
Haiti,1800-01-01T00:00:00.000000+00:00,
Hungary,1800-01-01T00:00:00.000000+00:00,
Indonesia,1800-01-01T00:00:00.000000+00:00,
India,1800-01-01T00:00:00.000000+00:00,
Ireland,1800-01-01T00:00:00.000000+00:00,
Iran,1800-01-01T00:00:00.000000+00:00,
Iraq,1800-01-01T00:00:00.000000+00:00,
Iceland,1800-01-01T00:00:00.000000+00:00,
Israel,1800-01-01T00:00:00.000000+00:00,
Italy,1800-01-01T00:00:00.000000+00:00,
Jamaica,1800-01-01T00:00:00.000000+00:00,
Jordan,1800-01-01T00:00:00.000000+00:00,
Japan,1800-01-01T00:00:00.000000+00:00,
Kazakhstan,1800-01-01T00:00:00.000000+00:00,
Kenya,1800-01-01T00:00:00.000000+00:00,
Kyrgyz Republic,1800-01-01T00:00:00.000000+00:00,
Cambodia,1800-01-01T00:00:00.000000+00:00,
Kiribati,1800-01-01T00:00:00.000000+00:00,
St. Kitts and Nevis,1800-01-01T00:00:00.000000+00:00,
South Korea,1800-01-01T00:00:00.000000+00:00,
Kuwait,1800-01-01T00:00:00.000000+00:00,
Lao,1800-01-01T00:00:00.000000+00:00,
Lebanon,1800-01-01T00:00:00.000000+00:00,
Liberia,1800-01-01T00:00:00.000000+00:00,
Libya,1800-01-01T00:00:00.000000+00:00,
St. Lucia,1800-01-01T00:00:00.000000+00:00,
Liechtenstein,1800-01-01T00:00:00.000000+00:00,
Sri Lanka,1800-01-01T00:00:00.000000+00:00,
Lesotho,1800-01-01T00:00:00.000000+00:00,
Lithuania,1800-01-01T00:00:00.000000+00:00,
Luxembourg,1800-01-01T00:00:00.000000+00:00,
Latvia,1800-01-01T00:00:00.000000+00:00,
Morocco,1800-01-01T00:00:00.000000+00:00,
Moldova,1800-01-01T00:00:00.000000+00:00,
Madagascar,1800-01-01T00:00:00.000000+00:00,
Maldives,1800-01-01T00:00:00.000000+00:00,
Mexico,1800-01-01T00:00:00.000000+00:00,
Marshall Islands,1800-01-01T00:00:00.000000+00:00,
North Macedonia,1800-01-01T00:00:00.000000+00:00,
Mali,1800-01-01T00:00:00.000000+00:00,
Malta,1800-01-01T00:00:00.000000+00:00,
Myanmar,1800-01-01T00:00:00.000000+00:00,
Montenegro,1800-01-01T00:00:00.000000+00:00,
Mongolia,1800-01-01T00:00:00.000000+00:00,
Mozambique,1800-01-01T00:00:00.000000+00:00,
Mauritania,1800-01-01T00:00:00.000000+00:00,
Mauritius,1800-01-01T00:00:00.000000+00:00,
Malawi,1800-01-01T00:00:00.000000+00:00,
Malaysia,1800-01-01T00:00:00.000000+00:00,
Namibia,1800-01-01T00:00:00.000000+00:00,
Niger,1800-01-01T00:00:00.000000+00:00,
Nigeria,1800-01-01T00:00:00.000000+00:00,
Nicaragua,1800-01-01T00:00:00.000000+00:00,
Netherlands,1800-01-01T00:00:00.000000+00:00,
Norway,1800-01-01T00:00:00.000000+00:00,
Nepal,1800-01-01T00:00:00.000000+00:00,
Nauru,1800-01-01T00:00:00.000000+00:00,
New Zealand,1800-01-01T00:00:00.000000+00:00,
Oman,1800-01-01T00:00:00.000000+00:00,
Pakistan,1800-01-01T00:00:00.000000+00:00,
Panama,1800-01-01T00:00:00.000000+00:00,
Peru,1800-01-01T00:00:00.000000+00:00,
Philippines,1800-01-01T00:00:00.000000+00:00,
Palau,1800-01-01T00:00:00.000000+00:00,
Papua New Guinea,1800-01-01T00:00:00.000000+00:00,
Poland,1800-01-01T00:00:00.000000+00:00,0.0489
North Korea,1800-01-01T00:00:00.000000+00:00,
Portugal,1800-01-01T00:00:00.000000+00:00,
Paraguay,1800-01-01T00:00:00.000000+00:00,
Palestine,1800-01-01T00:00:00.000000+00:00,
Qatar,1800-01-01T00:00:00.000000+00:00,
Romania,1800-01-01T00:00:00.000000+00:00,
Russia,1800-01-01T00:00:00.000000+00:00,
Rwanda,1800-01-01T00:00:00.000000+00:00,
Saudi Arabia,1800-01-01T00:00:00.000000+00:00,
Sudan,1800-01-01T00:00:00.000000+00:00,
Senegal,1800-01-01T00:00:00.000000+00:00,
Singapore,1800-01-01T00:00:00.000000+00:00,
Solomon Islands,1800-01-01T00:00:00.000000+00:00,
Sierra Leone,1800-01-01T00:00:00.000000+00:00,
El Salvador,1800-01-01T00:00:00.000000+00:00,
Somalia,1800-01-01T00:00:00.000000+00:00,
Serbia,1800-01-01T00:00:00.000000+00:00,
South Sudan,1800-01-01T00:00:00.000000+00:00,
Sao Tome and Principe,1800-01-01T00:00:00.000000+00:00,
Suriname,1800-01-01T00:00:00.000000+00:00,
Slovak Republic,1800-01-01T00:00:00.000000+00:00,
Slovenia,1800-01-01T00:00:00.000000+00:00,
Sweden,1800-01-01T00:00:00.000000+00:00,
Eswatini,1800-01-01T00:00:00.000000+00:00,
Seychelles,1800-01-01T00:00:00.000000+00:00,
Syria,1800-01-01T00:00:00.000000+00:00,
Chad,1800-01-01T00:00:00.000000+00:00,
Togo,1800-01-01T00:00:00.000000+00:00,
Thailand,1800-01-01T00:00:00.000000+00:00,
Tajikistan,1800-01-01T00:00:00.000000+00:00,
Turkmenistan,1800-01-01T00:00:00.000000+00:00,
Timor-Leste,1800-01-01T00:00:00.000000+00:00,
Tonga,1800-01-01T00:00:00.000000+00:00,
Trinidad and Tobago,1800-01-01T00:00:00.000000+00:00,
Tunisia,1800-01-01T00:00:00.000000+00:00,
Turkey,1800-01-01T00:00:00.000000+00:00,
Tuvalu,1800-01-01T00:00:00.000000+00:00,
Taiwan,1800-01-01T00:00:00.000000+00:00,
Tanzania,1800-01-01T00:00:00.000000+00:00,
Uganda,1800-01-01T00:00:00.000000+00:00,
Ukraine,1800-01-01T00:00:00.000000+00:00,
Uruguay,1800-01-01T00:00:00.000000+00:00,
United States,1800-01-01T00:00:00.000000+00:00,0.0438
Uzbekistan,1800-01-01T00:00:00.000000+00:00,
St. Vincent and the Grenadines,1800-01-01T00:00:00.000000+00:00,
Venezuela,1800-01-01T00:00:00.000000+00:00,
Vietnam,1800-01-01T00:00:00.000000+00:00,
Vanuatu,1800-01-01T00:00:00.000000+00:00,
Samoa,1800-01-01T00:00:00.000000+00:00,
Yemen,1800-01-01T00:00:00.000000+00:00,
South Africa,1800-01-01T00:00:00.000000+00:00,
Zambia,1800-01-01T00:00:00.000000+00:00,
Zimbabwe,1800-01-01T00:00:00.000000+00:00,
Afghanistan,1801-01-01T00:00:00.000000+00:00,
Angola,1801-01-01T00:00:00.000000+00:00,
Albania,1801-01-01T00:00:00.000000+00:00,
Andorra,1801-01-01T00:00:00.000000+00:00,
United Arab Emirates,1801-01-01T00:00:00.000000+00:00,
Argentina,1801-01-01T00:00:00.000000+00:00,
Armenia,1801-01-01T00:00:00.000000+00:00,
Antigua and Barbuda,1801-01-01T00:00:00.000000+00:00,
Australia,1801-01-01T00:00:00.000000+00:00,
Austria,1801-01-01T00:00:00.000000+00:00,
Azerbaijan,1801-01-01T00:00:00.000000+00:00,
Burundi,1801-01-01T00:00:00.000000+00:00,
Belgium,1801-01-01T00:00:00.000000+00:00,1.96
Benin,1801-01-01T00:00:00.000000+00:00,
Burkina Faso,1801-01-01T00:00:00.000000+00:00,
Bangladesh,1801-01-01T00:00:00.000000+00:00,
Bulgaria,1801-01-01T00:00:00.000000+00:00,
Bahrain,1801-01-01T00:00:00.000000+00:00,
Bahamas,1801-01-01T00:00:00.000000+00:00,
Bosnia and Herzegovina,1801-01-01T00:00:00.000000+00:00,
Belarus,1801-01-01T00:00:00.000000+00:00,
Belize,1801-01-01T00:00:00.000000+00:00,
Bolivia,1801-01-01T00:00:00.000000+00:00,
Brazil,1801-01-01T00:00:00.000000+00:00,
Barbados,1801-01-01T00:00:00.000000+00:00,
Brunei,1801-01-01T00:00:00.000000+00:00,
Bhutan,1801-01-01T00:00:00.000000+00:00,
Botswana,1801-01-01T00:00:00.000000+00:00,
Central African Republic,1801-01-01T00:00:00.000000+00:00,
Canada,1801-01-01T00:00:00.000000+00:00,0.00698
Switzerland,1801-01-01T00:00:00.000000+00:00,
Chile,1801-01-01T00:00:00.000000+00:00,
China,1801-01-01T00:00:00.000000+00:00,
Cote d'Ivoire,1801-01-01T00:00:00.000000+00:00,
Cameroon,1801-01-01T00:00:00.000000+00:00,
"Congo, Dem. Rep.",1801-01-01T00:00:00.000000+00:00,
"Congo, Rep.",1801-01-01T00:00:00.000000+00:00,
Colombia,1801-01-01T00:00:00.000000+00:00,
Comoros,1801-01-01T00:00:00.000000+00:00,
Cape Verde,1801-01-01T00:00:00.000000+00:00,
Costa Rica,1801-01-01T00:00:00.000000+00:00,
Cuba,1801-01-01T00:00:00.000000+00:00,
Cyprus,1801-01-01T00:00:00.000000+00:00,
Czech Republic,1801-01-01T00:00:00.000000+00:00,
Germany,1801-01-01T00:00:00.000000+00:00,0.0298
Djibouti,1801-01-01T00:00:00.000000+00:00,
Dominica,1801-01-01T00:00:00.000000+00:00,
Denmark,1801-01-01T00:00:00.000000+00:00,
Dominican Republic,1801-01-01T00:00:00.000000+00:00,
Algeria,1801-01-01T00:00:00.000000+00:00,
Ecuador,1801-01-01T00:00:00.000000+00:00,
Egypt,1801-01-01T00:00:00.000000+00:00,
Eritrea,1801-01-01T00:00:00.000000+00:00,
Spain,1801-01-01T00:00:00.000000+00:00,
Estonia,1801-01-01T00:00:00.000000+00:00,
Ethiopia,1801-01-01T00:00:00.000000+00:00,
Finland,1801-01-01T00:00:00.000000+00:00,
Fiji,1801-01-01T00:00:00.000000+00:00,
France,1801-01-01T00:00:00.000000+00:00,0.0767
"Micronesia, Fed. Sts.",1801-01-01T00:00:00.000000+00:00,
Gabon,1801-01-01T00:00:00.000000+00:00,
United Kingdom,1801-01-01T00:00:00.000000+00:00,2.45
Georgia,1801-01-01T00:00:00.000000+00:00,
Ghana,1801-01-01T00:00:00.000000+00:00,
Guinea,1801-01-01T00:00:00.000000+00:00,
Gambia,1801-01-01T00:00:00.000000+00:00,
Guinea-Bissau,1801-01-01T00:00:00.000000+00:00,
Equatorial Guinea,1801-01-01T00:00:00.000000+00:00,
Greece,1801-01-01T00:00:00.000000+00:00,
Grenada,1801-01-01T00:00:00.000000+00:00,
Guatemala,1801-01-01T00:00:00.000000+00:00,
Guyana,1801-01-01T00:00:00.000000+00:00,
"Hong Kong, China",1801-01-01T00:00:00.000000+00:00,
Honduras,1801-01-01T00:00:00.000000+00:00,
Croatia,1801-01-01T00:00:00.000000+00:00,
Haiti,1801-01-01T00:00:00.000000+00:00,
Hungary,1801-01-01T00:00:00.000000+00:00,
Indonesia,1801-01-01T00:00:00.000000+00:00,
India,1801-01-01T00:00:00.000000+00:00,
Ireland,1801-01-01T00:00:00.000000+00:00,
Iran,1801-01-01T00:00:00.000000+00:00,
Iraq,1801-01-01T00:00:00.000000+00:00,
Iceland,1801-01-01T00:00:00.000000+00:00,
Israel,1801-01-01T00:00:00.000000+00:00,
Italy,1801-01-01T00:00:00.000000+00:00,
Jamaica,1801-01-01T00:00:00.000000+00:00,
Jordan,1801-01-01T00:00:00.000000+00:00,
Japan,1801-01-01T00:00:00.000000+00:00,
Kazakhstan,1801-01-01T00:00:00.000000+00:00,
Kenya,1801-01-01T00:00:00.000000+00:00,
Kyrgyz Republic,1801-01-01T00:00:00.000000+00:00,
Cambodia,1801-01-01T00:00:00.000000+00:00,
Kiribati,1801-01-01T00:00:00.000000+00:00,
St. Kitts and Nevis,1801-01-01T00:00:00.000000+00:00,
South Korea,1801-01-01T00:00:00.000000+00:00,
Kuwait,1801-01-01T00:00:00.000000+00:00,
Lao,1801-01-01T00:00:00.000000+00:00,
Lebanon,1801-01-01T00:00:00.000000+00:00,
Liberia,1801-01-01T00:00:00.000000+00:00,
Libya,1801-01-01T00:00:00.000000+00:00,
St. Lucia,1801-01-01T00:00:00.000000+00:00,
Liechtenstein,1801-01-01T00:00:00.000000+00:00,
Sri Lanka,1801-01-01T00:00:00.000000+00:00,
Lesotho,1801-01-01T00:00:00.000000+00:00,
Lithuania,1801-01-01T00:00:00.000000+00:00,
Luxembourg,1801-01-01T00:00:00.000000+00:00,
Latvia,1801-01-01T00:00:00.000000+00:00,
Morocco,1801-01-01T00:00:00.000000+00:00,
Moldova,1801-01-01T00:00:00.000000+00:00,
Madagascar,1801-01-01T00:00:00.000000+00:00,
Maldives,1801-01-01T00:00:00.000000+00:00,
Mexico,1801-01-01T00:00:00.000000+00:00,
Marshall Islands,1801-01-01T00:00:00.000000+00:00,
North Macedonia,1801-01-01T00:00:00.000000+00:00,
Mali,1801-01-01T00:00:00.000000+00:00,
Malta,1801-01-01T00:00:00.000000+00:00,
Myanmar,1801-01-01T00:00:00.000000+00:00,
Montenegro,1801-01-01T00:00:00.000000+00:00,
Mongolia,1801-01-01T00:00:00.000000+00:00,
Mozambique,1801-01-01T00:00:00.000000+00:00,
Mauritania,1801-01-01T00:00:00.000000+00:00,
Mauritius,1801-01-01T00:00:00.000000+00:00,
Malawi,1801-01-01T00:00:00.000000+00:00,
Malaysia,1801-01-01T00:00:00.000000+00:00,
Namibia,1801-01-01T00:00:00.000000+00:00,
Niger,1801-01-01T00:00:00.000000+00:00,
Nigeria,1801-01-01T00:00:00.000000+00:00,
Nicaragua,1801-01-01T00:00:00.000000+00:00,
